event_count,game_time,num_unique_days,elapsed_days,last_world,last_assessment,unique_game_sessions,activity_ct,game_ct,assessment_ct,clip_ct,event_2000_ct,event_2010_ct,event_2020_ct,event_2025_ct,event_2030_ct,event_2035_ct,event_2040_ct,event_2050_ct,event_2060_ct,event_2070_ct,event_2075_ct,event_2080_ct,event_2081_ct,event_2083_ct,event_3010_ct,event_3020_ct,event_3021_ct,event_3110_ct,event_3120_ct,event_3121_ct,event_4010_ct,event_4020_ct,event_4021_ct,event_4022_ct,event_4025_ct,event_4030_ct,event_4031_ct,event_4035_ct,event_4040_ct,event_4045_ct,event_4050_ct,event_4070_ct,event_4080_ct,event_4090_ct,event_4095_ct,event_4100_ct,event_4110_ct,event_4220_ct,event_4230_ct,event_4235_ct,event_5000_ct,event_5010_ct,Bird Measurer (Assessment),Mushroom Sorter (Assessment),Cauldron Filler (Assessment),Chest Sorter (Assessment),Cart Balancer (Assessment)
1230,1135,1,0,TREETOPCITY,Bird Measurer (Assessment),26,556.0,525.0,135.0,14.0,26.0,1.0,27.0,5.0,22.0,1.0,6.0,6.0,1.0,1.0,0.0,4.0,1.0,2.0,228.0,22.0,16.0,225.0,22.0,16.0,6.0,127.0,14.0,31.0,59.0,171.0,0.0,6.0,2.0,0.0,0.0,160.0,0.0,4.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,87.0,48.0,0.0,0.0,0.0
2201,3488,1,0,TREETOPCITY,Mushroom Sorter (Assessment),48,1103.0,845.0,229.0,24.0,48.0,3.0,53.0,10.0,44.0,6.0,10.0,9.0,2.0,2.0,0.0,8.0,2.0,5.0,344.0,26.0,44.0,339.0,26.0,44.0,10.0,249.0,29.0,45.0,96.0,321.0,6.0,14.0,10.0,2.0,0.0,349.0,0.0,4.0,1.0,8.0,13.0,9.0,0.0,0.0,5.0,5.0,87.0,142.0,0.0,0.0,0.0
1566,1342,2,1,MAGMAPEAK,Cauldron Filler (Assessment),26,894.0,633.0,24.0,15.0,26.0,0.0,47.0,1.0,44.0,1.0,6.0,5.0,1.0,1.0,0.0,4.0,1.0,3.0,201.0,23.0,18.0,199.0,23.0,16.0,5.0,124.0,65.0,0.0,8.0,195.0,0.0,30.0,8.0,1.0,0.0,489.0,0.0,2.0,1.0,1.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
2222,2063,4,18,TREETOPCITY,Bird Measurer (Assessment),48,1206.0,643.0,343.0,30.0,48.0,0.0,52.0,2.0,45.0,2.0,6.0,5.0,1.0,1.0,0.0,4.0,1.0,3.0,251.0,29.0,22.0,245.0,29.0,20.0,7.0,197.0,65.0,37.0,34.0,340.0,0.0,49.0,20.0,1.0,0.0,676.0,0.0,4.0,1.0,6.0,2.0,5.0,6.0,6.0,0.0,0.0,200.0,116.0,27.0,0.0,0.0
2014,1835,4,18,TREETOPCITY,Mushroom Sorter (Assessment),44,1206.0,637.0,143.0,28.0,44.0,0.0,50.0,2.0,44.0,2.0,6.0,5.0,1.0,1.0,0.0,4.0,1.0,3.0,245.0,27.0,21.0,240.0,27.0,19.0,6.0,176.0,65.0,37.0,27.0,301.0,0.0,45.0,14.0,1.0,0.0,574.0,0.0,3.0,1.0,5.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,116.0,27.0,0.0,0.0
43,39,2,28,TREETOPCITY,Bird Measurer (Assessment),2,0.0,0.0,43.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,0.0,0.0
162,135,1,0,TREETOPCITY,Bird Measurer (Assessment),13,0.0,0.0,152.0,10.0,13.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,8.0,10.0,6.0,8.0,0.0,7.0,0.0,0.0,16.0,19.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,51.0,101.0,0.0,0.0,0.0
409,498,1,0,CRYSTALCAVES,Chest Sorter (Assessment),29,12.0,176.0,202.0,19.0,29.0,3.0,11.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29.0,22.0,11.0,29.0,21.0,10.0,3.0,28.0,0.0,0.0,26.0,65.0,0.0,12.0,6.0,0.0,0.0,79.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,51.0,101.0,0.0,29.0,21.0
294,290,1,0,CRYSTALCAVES,Cart Balancer (Assessment),23,0.0,112.0,165.0,17.0,23.0,3.0,7.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,17.0,11.0,19.0,16.0,10.0,2.0,18.0,0.0,0.0,16.0,42.0,0.0,8.0,5.0,0.0,0.0,58.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,51.0,101.0,0.0,0.0,13.0
70,51,1,0,TREETOPCITY,Mushroom Sorter (Assessment),7,0.0,0.0,64.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0
