title,type,duration
Welcome to Lost Lagoon!,Clip,19
Tree Top City - Level 1,Clip,17
Ordering Spheres,Clip,61
All Star Sorting,Game,
Costume Box,Clip,61
Fireworks (Activity),Activity,
12 Monkeys,Clip,109
Tree Top City - Level 2,Clip,25
Flower Waterer (Activity),Activity,
Pirate's Tale,Clip,80
Mushroom Sorter (Assessment),Assessment,
Air Show,Game,
Treasure Map,Clip,156
Tree Top City - Level 3,Clip,26
Crystals Rule,Game,
Rulers,Clip,126
Bug Measurer (Activity),Activity,
Bird Measurer (Assessment),Assessment,
Magma Peak - Level 1,Clip,20
Sandcastle Builder (Activity),Activity,
Slop Problem,Clip,60
Scrub-A-Dub,Game,
Watering Hole (Activity),Activity,
Magma Peak - Level 2,Clip,22
Dino Drink,Game,
Bubble Bath,Game,
Bottle Filler (Activity),Activity,
Dino Dive,Game,
Cauldron Filler (Assessment),Assessment,
Crystal Caves - Level 1,Clip,18
Chow Time,Game,
Balancing Act,Clip,72
Chicken Balancer (Activity),Activity,
Lifting Heavy Things,Clip,118
Crystal Caves - Level 2,Clip,24
Honey Cake,Clip,142
Happy Camel,Game,
Cart Balancer (Assessment),Assessment,
Leaf Leader,Game,
Crystal Caves - Level 3,Clip,19
"Heavy, Heavier, Heaviest",Clip,61
Pan Balance,Game,
Egg Dropper (Activity),Activity,
Chest Sorter (Assessment),Assessment,
